Rk	Player	M	M W-L	M W%	SPW	SPW-InP	Aces	Ace%	DFs	DF%	DF/2s	1stIn	1st%	2nd%	2%-InP	Hld%	Pts/SG	PtsL/SG
1	Jannik Sinner [ITA]	46	44-2	95.7%	71.7%	70.1%	375	11.3%	83	2.5%	6.2%	60.1%	79.9%	59.5%	63.5%	92.2%	5.9	1.7
2	Alexander Zverev [GER]	44	34-10	77.3%	70.9%	69.2%	425	12.7%	105	3.1%	10.1%	69.0%	77.6%	55.9%	62.3%	90.7%	6.0	1.7
3	Carlos Alcaraz [ESP]	39	30-9	76.9%	69.3%	68.8%	210	8.0%	77	2.9%	8.2%	64.2%	75.9%	57.5%	62.6%	87.5%	5.8	1.8
4	Taylor Fritz [USA]	38	24-14	63.2%	69.8%	67.5%	380	12.8%	82	2.8%	7.4%	62.5%	78.3%	55.8%	60.2%	89.4%	6.0	1.8
5	Casper Ruud [NOR]	35	20-15	57.1%	65.7%	64.8%	200	8.2%	76	3.1%	9.6%	67.6%	71.9%	52.6%	58.2%	83.2%	6.2	2.1
6	Daniil Medvedev [RUS]	37	23-14	62.2%	64.9%	65.6%	281	10.3%	173	6.3%	16.0%	60.4%	75.1%	49.4%	58.9%	81.5%	6.3	2.2
7	Novak Djokovic [SRB]	20	15-5	75.0%	69.1%	68.5%	158	10.6%	58	3.9%	10.3%	62.5%	76.5%	56.9%	63.5%	90.4%	6.3	1.9
8	Andrey Rublev [RUS]	44	26-18	59.1%	67.9%	66.1%	396	11.8%	109	3.2%	8.7%	62.5%	77.2%	52.5%	57.5%	85.6%	6.1	2.0
9	Stefanos Tsitsipas [GRE]	31	18-13	58.1%	67.0%	66.3%	243	9.6%	98	3.9%	9.8%	60.6%	76.3%	52.8%	58.5%	85.7%	6.3	2.1
10	Alex De Minaur [AUS]	40	26-14	65.0%	65.1%	65.5%	197	6.7%	120	4.1%	8.7%	53.2%	74.2%	54.8%	60.0%	82.6%	6.2	2.2
11	Tommy Paul [USA]	32	21-11	65.6%	65.3%	64.3%	198	7.4%	65	2.4%	6.2%	61.1%	72.7%	53.8%	57.4%	84.2%	6.5	2.3
12	Ben Shelton [USA]	42	26-16	61.9%	70.1%	68.7%	407	11.3%	113	3.1%	10.1%	69.0%	76.1%	56.8%	63.2%	90.7%	6.3	1.9
13	Holger Rune [DEN]	38	24-14	63.2%	65.6%	65.4%	212	7.8%	104	3.8%	9.6%	60.2%	72.8%	54.7%	60.5%	82.6%	6.2	2.1
14	Jack Draper [GBR]	35	25-10	71.4%	66.6%	65.1%	336	11.7%	111	3.9%	9.8%	60.7%	76.2%	51.9%	57.6%	84.8%	6.2	2.1
15	Grigor Dimitrov [BUL]	34	22-12	64.7%	68.0%	67.5%	298	11.9%	127	5.1%	12.9%	60.6%	79.3%	50.6%	58.1%	85.5%	6.3	2.0
16	Lorenzo Musetti [ITA]	25	14-11	56.0%	63.7%	63.8%	111	5.2%	68	3.2%	8.8%	64.1%	70.6%	51.4%	56.4%	77.1%	6.3	2.3
17	Frances Tiafoe [USA]	36	21-15	58.3%	67.0%	65.3%	351	11.0%	104	3.2%	7.7%	58.1%	76.2%	54.2%	58.7%	84.8%	6.3	2.1
18	Felix Auger Aliassime [CAN]	37	24-13	64.9%	67.4%	65.7%	385	13.5%	126	4.4%	12.9%	65.7%	75.6%	51.6%	59.3%	85.3%	6.2	2.0
19	Ugo Humbert [FRA]	37	25-12	67.6%	67.8%	66.3%	288	10.4%	85	3.1%	8.1%	62.2%	75.7%	54.9%	59.7%	87.1%	6.2	2.0
20	Tomas Machac [CZE]	44	29-15	65.9%	65.2%	65.4%	249	7.7%	140	4.4%	11.0%	60.5%	73.5%	52.4%	58.9%	83.1%	6.4	2.2
21	Arthur Fils [FRA]	34	19-15	55.9%	66.4%	65.5%	264	9.8%	103	3.8%	9.6%	60.1%	77.6%	49.6%	54.8%	83.2%	6.3	2.1
22	Hubert Hurkacz [POL]	26	14-12	53.8%	68.9%	65.1%	327	15.3%	49	2.3%	6.1%	62.2%	77.5%	54.7%	58.2%	88.0%	6.1	1.9
23	Karen Khachanov [RUS]	36	21-15	58.3%	66.5%	64.8%	249	9.3%	65	2.4%	6.6%	63.0%	74.6%	52.6%	56.3%	81.4%	6.1	2.0
24	Jiri Lehecka [CZE]	41	26-15	63.4%	66.0%	64.1%	335	11.4%	100	3.4%	8.6%	60.4%	75.8%	51.0%	55.8%	84.8%	6.3	2.2
25	Sebastian Korda [USA]	20	13-7	65.0%	67.1%	64.8%	177	11.5%	40	2.6%	6.7%	61.4%	75.2%	54.3%	58.2%	85.7%	6.1	2.0
26	Francisco Cerundolo [ARG]	27	14-13	51.9%	62.8%	63.6%	120	5.5%	95	4.3%	10.6%	59.2%	70.8%	51.3%	57.4%	79.3%	6.6	2.5
27	Alexei Popyrin [AUS]	30	17-13	56.7%	65.3%	63.6%	260	11.5%	88	3.9%	10.3%	62.0%	75.8%	48.1%	53.6%	83.0%	6.5	2.3
28	Denis Shapovalov [CAN]	38	26-12	68.4%	67.2%	68.8%	321	11.7%	209	7.6%	19.3%	60.6%	77.8%	50.9%	63.0%	86.1%	6.2	2.0
29	Matteo Berrettini [ITA]	29	16-13	55.2%	69.5%	65.7%	339	14.6%	42	1.8%	5.6%	67.9%	77.8%	52.1%	55.2%	88.5%	6.2	1.9
30	Giovanni Mpetshi Perricard [FRA]	24	13-11	54.2%	71.0%	68.9%	428	22.3%	135	7.0%	18.9%	62.7%	80.8%	54.7%	67.4%	91.7%	6.4	1.8
31	Alejandro Tabilo [CHI]	23	7-16	30.4%	64.0%	62.1%	219	11.1%	72	3.7%	10.1%	63.9%	73.7%	46.8%	52.1%	81.1%	6.7	2.4
32	Alex Michelsen [USA]	47	29-18	61.7%	64.2%	63.8%	242	6.7%	116	3.2%	9.7%	67.0%	71.2%	50.0%	55.4%	80.3%	6.5	2.3
33	Brandon Nakashima [USA]	40	21-19	52.5%	68.4%	65.0%	365	12.5%	44	1.5%	4.5%	66.6%	75.1%	55.1%	57.7%	87.2%	6.1	1.9
34	Sebastian Baez [ARG]	14	2-12	14.3%	57.1%	58.0%	19	1.7%	30	2.7%	9.7%	71.7%	62.4%	43.9%	48.6%	65.1%	6.6	2.8
35	Matteo Arnaldi [ITA]	29	16-13	55.2%	63.5%	63.2%	191	8.0%	98	4.1%	9.6%	57.0%	73.0%	51.0%	56.4%	79.9%	6.5	2.4
36	Nuno Borges [POR]	29	15-14	51.7%	64.1%	63.9%	171	6.8%	91	3.6%	10.1%	64.2%	70.3%	52.8%	58.8%	79.0%	6.4	2.3
37	Lorenzo Sonego [ITA]	30	14-16	46.7%	67.0%	65.5%	212	8.6%	54	2.2%	6.5%	66.3%	74.8%	51.7%	55.3%	86.5%	6.3	2.1
38	Jordan Thompson [AUS]	29	18-11	62.1%	65.2%	62.2%	231	10.8%	37	1.7%	4.2%	59.1%	74.5%	51.8%	54.1%	80.1%	6.1	2.1
39	Alejandro Davidovich Fokina [ESP]	38	22-16	57.9%	62.5%	62.3%	166	5.3%	94	3.0%	8.9%	66.4%	68.2%	51.2%	56.2%	77.8%	6.5	2.4
40	Flavio Cobolli [ITA]	32	17-15	53.1%	62.8%	62.7%	190	7.2%	110	4.2%	9.2%	54.9%	72.3%	51.1%	56.3%	78.3%	6.7	2.5
41	Pedro Martinez [ESP]	22	8-14	36.4%	59.8%	61.6%	58	4.1%	78	5.5%	16.6%	66.5%	66.0%	47.6%	57.0%	71.1%	6.3	2.5
42	Gael Monfils [FRA]	27	18-9	66.7%	67.0%	67.1%	263	11.8%	132	5.9%	14.8%	60.1%	77.2%	51.6%	60.6%	85.1%	6.2	2.0
43	Tallon Griekspoor [NED]	37	19-18	51.4%	67.6%	65.6%	374	12.0%	103	3.3%	10.1%	67.2%	76.3%	49.7%	55.2%	86.8%	6.4	2.1
44	Alexandre Muller [FRA]	19	10-9	52.6%	62.7%	61.9%	84	5.3%	30	1.9%	5.9%	67.7%	69.4%	48.8%	51.9%	76.5%	6.5	2.4
45	Tomas Martin Etcheverry [ARG]	29	14-15	48.3%	65.2%	62.9%	242	9.8%	53	2.1%	5.9%	63.6%	74.3%	49.3%	52.4%	83.5%	6.6	2.3
46	Jan Lennard Struff [GER]	20	7-13	35.0%	62.6%	61.5%	192	10.9%	88	5.0%	12.5%	60.0%	73.0%	47.0%	53.7%	78.4%	6.7	2.5
47	Nicolas Jarry [CHI]	20	8-12	40.0%	67.4%	64.9%	216	13.5%	54	3.4%	9.4%	63.9%	78.2%	48.4%	53.3%	83.4%	6.2	2.0
48	Marcos Giron [USA]	27	14-13	51.9%	63.8%	62.4%	138	6.8%	35	1.7%	4.3%	59.7%	72.3%	51.2%	53.5%	78.5%	6.2	2.3
49	Miomir Kecmanovic [SRB]	37	19-18	51.4%	64.5%	64.2%	167	5.9%	80	2.8%	7.4%	61.6%	72.8%	51.1%	55.1%	80.7%	6.3	2.2
50	Roberto Bautista Agut [ESP]	25	12-13	48.0%	62.4%	63.1%	75	3.7%	67	3.3%	10.0%	67.1%	68.4%	50.0%	55.6%	78.2%	6.7	2.5
51	Zhizhen Zhang [CHN]	26	9-17	34.6%	65.9%	63.8%	181	10.6%	44	2.6%	7.3%	64.7%	72.9%	53.3%	57.5%	82.7%	6.2	2.1
52	Roberto Carballes Baena [ESP]	26	12-14	46.2%	62.9%	63.0%	119	5.8%	71	3.5%	9.6%	63.6%	70.6%	49.5%	54.7%	76.6%	6.4	2.4
53	Zizou Bergs [BEL]	37	23-14	62.2%	65.6%	64.8%	245	9.4%	100	3.8%	9.5%	59.9%	74.2%	52.8%	58.4%	81.4%	6.1	2.1
54	Fabian Marozsan [HUN]	31	17-14	54.8%	63.5%	62.9%	177	6.8%	78	3.0%	8.7%	65.5%	70.7%	50.1%	54.8%	80.1%	6.6	2.4
55	Juncheng Shang [CHN]	32	18-14	56.3%	64.2%	64.0%	143	6.2%	72	3.1%	8.2%	61.8%	71.8%	51.8%	56.5%	80.9%	6.4	2.3
56	David Goffin [BEL]	28	16-12	57.1%	60.7%	60.5%	130	6.2%	77	3.7%	9.1%	59.5%	68.9%	48.6%	53.4%	72.9%	6.7	2.6
57	Jakub Mensik [CZE]	29	16-13	55.2%	64.9%	62.3%	410	14.7%	134	4.8%	11.8%	59.2%	77.3%	46.9%	53.1%	82.9%	6.6	2.3
58	Jaume Munar [ESP]	16	7-9	43.8%	63.5%	64.0%	69	4.9%	50	3.6%	10.4%	65.9%	70.5%	50.1%	55.9%	78.8%	6.3	2.3
59	Quentin Halys [FRA]	17	7-10	41.2%	66.0%	63.0%	239	15.6%	67	4.4%	10.8%	59.4%	77.6%	49.2%	55.1%	85.2%	6.5	2.2
60	Luciano Darderi [ITA]	17	2-15	11.8%	59.6%	58.5%	106	8.2%	52	4.0%	9.6%	58.1%	68.1%	47.7%	52.8%	72.3%	6.7	2.7
61	Camilo Ugo Carabelli [ARG]	3	0-3	0.0%	54.0%	55.1%	14	4.3%	18	5.5%	12.5%	55.8%	67.0%	37.5%	42.9%	57.1%	6.7	3.1
62	Benjamin Bonzi [FRA]	14	9-5	64.3%	65.7%	64.2%	85	7.7%	22	2.0%	5.5%	63.5%	71.7%	55.2%	58.4%	81.3%	6.4	2.2
63	Mariano Navone [ARG]	19	5-14	26.3%	60.2%	60.3%	78	5.3%	52	3.6%	8.7%	59.2%	67.7%	49.5%	54.2%	72.0%	6.7	2.7
64	Aleksandar Vukic [AUS]	26	12-14	46.2%	65.0%	61.4%	296	14.0%	61	2.9%	7.2%	60.2%	74.8%	50.2%	54.1%	82.5%	6.4	2.2
65	Yoshihito Nishioka [JPN]	28	17-11	60.7%	64.7%	64.2%	78	4.2%	30	1.6%	4.5%	63.5%	69.2%	56.8%	59.4%	81.4%	6.4	2.2
66	Francisco Comesana [ARG]	6	2-4	33.3%	63.1%	62.5%	50	8.4%	25	4.2%	10.7%	60.5%	74.9%	44.9%	50.2%	76.6%	6.3	2.3
67	Luca Nardi [ITA]	13	4-9	30.8%	57.1%	59.1%	38	3.5%	62	5.8%	13.5%	57.3%	67.2%	43.7%	50.5%	67.1%	7.1	3.0
68	Learner Tien [USA]	20	12-8	60.0%	60.3%	60.9%	76	4.2%	67	3.7%	10.7%	65.4%	66.2%	49.0%	54.8%	73.0%	6.5	2.6
69	Roman Safiullin [RUS]	23	9-14	39.1%	63.4%	62.0%	172	9.6%	67	3.7%	9.8%	61.8%	72.3%	48.8%	54.1%	76.7%	6.3	2.3
70	Mattia Bellucci [ITA]	19	10-9	52.6%	65.0%	62.7%	164	11.4%	44	3.1%	8.4%	63.6%	72.7%	51.6%	56.4%	82.9%	6.7	2.3
71	Bu Yunchaokete [CHN]	25	12-13	48.0%	65.7%	63.2%	183	10.0%	35	1.9%	4.7%	58.9%	74.0%	53.7%	56.4%	82.3%	6.3	2.2
72	Hamad Medjedovic [SRB]	14	10-4	71.4%	69.2%	68.5%	96	10.3%	34	3.6%	11.5%	68.4%	76.9%	52.7%	59.5%	88.3%	6.1	1.9
73	Arthur Rinderknech [FRA]	31	14-17	45.2%	65.6%	62.5%	324	13.7%	78	3.3%	8.9%	63.1%	75.4%	48.7%	53.5%	81.8%	6.4	2.2
74	Laslo Djere [SRB]	11	6-5	54.5%	62.2%	59.7%	97	11.6%	31	3.7%	10.2%	63.7%	70.7%	47.2%	52.6%	80.0%	6.7	2.5
75	Christopher Oconnell [AUS]	30	14-16	46.7%	65.1%	62.7%	231	10.1%	51	2.2%	5.6%	60.0%	73.6%	52.2%	55.3%	82.3%	6.5	2.3
76	Kei Nishikori [JPN]	24	13-11	54.2%	63.4%	63.1%	64	4.0%	28	1.8%	5.3%	66.5%	68.6%	53.1%	56.0%	78.5%	6.1	2.2
77	Cameron Norrie [GBR]	20	10-10	50.0%	63.6%	61.7%	125	7.8%	30	1.9%	5.9%	68.3%	69.2%	51.5%	54.7%	79.4%	6.5	2.4
78	Daniel Altmaier [GER]	22	10-12	45.5%	63.1%	60.1%	193	11.1%	42	2.4%	6.4%	62.1%	73.1%	46.7%	49.9%	78.6%	6.4	2.4
79	Corentin Moutet [FRA]	14	5-9	35.7%	59.1%	59.6%	36	2.9%	34	2.8%	7.9%	64.8%	65.7%	47.0%	51.0%	70.4%	6.8	2.8
80	Joao Fonseca [BRA]	11	8-3	72.7%	70.8%	68.9%	79	9.7%	13	1.6%	5.1%	68.6%	76.8%	57.6%	60.7%	89.4%	6.2	1.8
81	Jacob Fearnley [GBR]	7	4-3	57.1%	63.1%	65.2%	37	8.2%	34	7.5%	19.0%	60.5%	71.2%	50.8%	62.8%	77.5%	6.4	2.4
82	Alexander Bublik [KAZ]	20	4-16	20.0%	61.6%	61.6%	208	14.1%	130	8.8%	21.4%	58.6%	76.0%	41.1%	52.3%	75.6%	6.8	2.6
83	Rinky Hijikata [AUS]	20	8-12	40.0%	58.6%	58.8%	76	5.2%	60	4.1%	9.9%	58.6%	66.1%	47.9%	53.1%	68.5%	6.6	2.7
84	Damir Dzumhur [BIH]	8	3-5	37.5%	57.1%	58.4%	5	1.4%	12	3.3%	8.7%	62.5%	61.3%	50.0%	54.8%	65.5%	6.3	2.7
85	Botic Van De Zandschulp [NED]	24	9-15	37.5%	61.8%	63.1%	104	5.5%	101	5.3%	14.6%	63.6%	70.8%	46.0%	53.9%	77.9%	6.7	2.6
86	Thanasi Kokkinakis [AUS]	16	10-6	62.5%	67.5%	64.7%	226	14.2%	55	3.5%	9.1%	61.9%	77.7%	50.9%	56.0%	86.6%	6.5	2.1
87	Jaime Faria [POR]	4	1-3	25.0%	62.7%	60.4%	24	13.6%	9	5.1%	12.9%	60.5%	69.2%	52.9%	60.7%	77.4%	5.7	2.1
88	Gabriel Diallo [CAN]	19	9-10	47.4%	63.5%	61.6%	167	10.0%	54	3.2%	10.0%	67.4%	71.2%	47.5%	52.8%	80.5%	6.6	2.4
89	Marton Fucsovics [HUN]	12	5-7	41.7%	63.6%	63.0%	55	7.6%	26	3.6%	10.2%	64.8%	71.2%	49.6%	55.3%	79.3%	6.2	2.3
90	Francesco Passaro [ITA]	3	1-2	33.3%	69.1%	67.8%	18	9.3%	5	2.6%	7.9%	67.5%	73.3%	60.3%	65.5%	80.6%	5.4	1.7
91	Thiago Seyboth Wild [BRA]	14	6-8	42.9%	65.8%	64.4%	111	9.7%	36	3.2%	8.8%	63.9%	73.1%	52.8%	57.9%	84.4%	6.4	2.2
92	Raphael Collignon [BEL]	4	0-4	0.0%	62.1%	67.2%	16	5.7%	29	10.4%	31.9%	67.5%	70.9%	44.0%	64.5%	74.4%	6.5	2.5
93	Hugo Gaston [FRA]	12	5-7	41.7%	59.5%	58.7%	47	5.0%	20	2.1%	5.2%	59.1%	67.5%	47.9%	50.5%	72.2%	6.5	2.7
94	Aleksandar Kovacevic [USA]	18	7-11	38.9%	65.7%	63.7%	182	12.8%	58	4.1%	9.9%	58.8%	77.1%	49.5%	54.9%	84.9%	6.5	2.2
95	Fabio Fognini [ITA]	7	1-6	14.3%	58.6%	59.0%	28	5.4%	23	4.5%	11.0%	59.1%	66.4%	47.1%	52.9%	71.1%	6.2	2.6
96	Adam Walton [AUS]	12	1-11	8.3%	65.5%	63.9%	87	9.2%	26	2.7%	7.9%	65.4%	73.2%	50.9%	55.3%	83.0%	6.2	2.1
97	James Duckworth [AUS]	13	2-11	15.4%	62.6%	62.4%	71	6.9%	39	3.8%	9.2%	58.6%	71.3%	50.5%	55.6%	77.0%	6.2	2.3
98	Alexander Shevchenko [KAZ]	22	9-13	40.9%	61.8%	61.6%	105	7.1%	61	4.1%	10.4%	60.8%	70.1%	48.8%	54.5%	74.2%	6.3	2.4
99	Lucas Pouille [FRA]	2	0-2	0.0%	59.3%	61.5%	9	4.9%	12	6.6%	14.0%	52.7%	79.2%	37.2%	43.2%	80.0%	7.3	3.0
100	Chun Hsin Tseng [TPE]	4	0-4	0.0%	54.0%	52.7%	5	7.9%	3	4.8%	9.1%	47.6%	70.0%	39.4%	43.3%	66.7%	7.0	3.2